Symbol,Date,Open,High,Low,Close,Volume
ACLBSL,2025-07-17,1095.0,1153.0,1091.0,1109.86,7112
ADBL,2025-07-17,328.0,333.5,328.0,331.6,187049
AHL,2025-07-17,608.0,653.8,608.0,640.65,19633
AHPC,2025-07-17,294.8,304.2,293.0,301.43,506239
AKJCL,2025-07-17,210.0,218.7,208.2,216.61,479214
AKPL,2025-07-17,264.2,273.3,263.1,268.99,358596
ALBSL,2025-07-17,895.81,925.0,895.0,912.48,14716
ALICL,2025-07-17,505.0,516.0,500.0,513.4,107474
ANLB,2025-07-17,5521.0,5595.0,5505.2,5580.0,775
API,2025-07-17,300.0,307.8,297.2,304.55,334212
AVYAN,2025-07-17,1078.0,1150.0,1064.0,1123.34,19661
BARUN,2025-07-17,409.8,449.8,409.8,420.95,285721
BBC,2025-07-17,5410.0,5480.0,5400.1,5471.17,819
BEDC,2025-07-17,676.8,708.9,670.0,694.84,46219
BFC,2025-07-17,520.0,535.0,515.0,528.9,63253
BGWT,2025-07-17,945.0,1000.0,945.0,981.41,10475
BHDC,2025-07-17,492.0,515.0,492.0,507.44,110995
BHL,2025-07-17,214.9,217.0,211.0,215.73,337693
BHPL,2025-07-17,785.0,846.6,785.0,838.98,19008
BNHC,2025-07-17,517.3,523.9,510.1,518.98,22574
BNL,2025-07-17,17150.0,18204.0,17100.0,18204.0,120
BNT,2025-07-17,12900.0,12900.0,12735.0,12871.57,291
BPCL,2025-07-17,965.0,995.0,947.0,969.81,623288
CBBL,2025-07-17,1040.0,1053.0,1040.0,1050.15,103908
CFCL,2025-07-17,545.0,570.9,545.0,563.74,49778
CGH,2025-07-17,973.0,1009.0,965.0,995.64,85971
CHCL,2025-07-17,538.0,550.0,538.0,547.62,181607
CHDC,2025-07-17,2650.2,2774.0,2650.0,2749.86,104947
CHL,2025-07-17,320.0,348.8,319.5,334.4,56836
CIT,2025-07-17,1975.72,2015.0,1975.72,2000.87,29942
CITY,2025-07-17,888.0,915.0,880.9,907.7,43420
CKHL,2025-07-17,672.0,714.0,664.5,709.84,34464
CLI,2025-07-17,480.0,497.8,480.0,492.93,91456
CORBL,2025-07-17,2427.3,2480.0,2307.0,2437.96,14863
CREST,2025-07-17,1364.0,1420.0,1364.0,1399.53,18342
CYCL,2025-07-17,1750.1,1860.0,1750.1,1837.52,9281
CZBIL,2025-07-17,230.9,234.0,227.0,230.69,219237
DDBL,2025-07-17,864.7,914.9,864.7,904.0,46301
DHPL,2025-07-17,325.0,339.0,324.0,337.66,44058
DLBS,2025-07-17,1490.2,1549.0,1490.1,1525.95,2610
DOLTI,2025-07-17,579.0,605.6,575.3,603.56,32946
DORDI,2025-07-17,332.0,340.0,324.0,335.94,306383
EBL,2025-07-17,702.0,735.0,695.0,730.96,231952
EDBL,2025-07-17,662.0,674.0,648.0,657.42,124303
EHPL,2025-07-17,568.0,634.2,568.0,633.72,22651
ENL,2025-07-17,1111.0,1160.0,1111.0,1153.49,7823
FMDBL,2025-07-17,815.0,850.6,802.0,827.55,146596
FOWAD,2025-07-17,1270.0,1301.5,1244.6,1295.66,19680
GBBL,2025-07-17,432.0,448.9,430.0,442.85,193290
GBIME,2025-07-17,262.0,278.9,260.0,264.56,556423
GBLBS,2025-07-17,841.0,874.0,841.0,866.37,19673
GCIL,2025-07-17,520.0,540.0,517.0,529.96,96928
GFCL,2025-07-17,728.6,729.0,711.2,724.47,56418
GHL,2025-07-17,253.7,264.0,252.0,261.41,273062
GILB,2025-07-17,1320.0,1376.9,1320.0,1363.42,3995
GLBSL,2025-07-17,2220.1,2257.0,2220.0,2256.39,2931
GLH,2025-07-17,267.2,287.6,267.2,282.41,167739
GMFBS,2025-07-17,1675.0,1695.0,1641.5,1689.0,1202
GMFIL,2025-07-17,512.0,530.6,510.1,521.98,54327
GMLI,2025-07-17,2237.0,2281.7,2175.1,2209.75,3559
GRDBL,2025-07-17,1457.2,1579.0,1373.0,1485.09,69393
GUFL,2025-07-17,589.9,600.0,579.2,593.68,18271
GVL,2025-07-17,489.9,501.7,487.1,491.81,82934
HATHY,2025-07-17,1223.0,1275.0,1223.0,1260.33,47772
HBL,2025-07-17,241.0,261.0,236.0,248.56,407528
HDHPC,2025-07-17,197.0,207.0,197.0,204.92,598465
HDL,2025-07-17,1250.0,1275.0,1241.0,1270.14,94208
HEI,2025-07-17,620.0,632.0,619.0,626.32,24700
HHL,2025-07-17,371.0,385.0,366.0,379.27,191920
HIDCL,2025-07-17,292.0,310.0,292.0,306.09,470440
HLBSL,2025-07-17,1015.0,1038.6,1011.1,1029.11,7428
HLI,2025-07-17,407.5,424.0,407.5,419.6,125709
HPPL,2025-07-17,500.0,526.0,500.0,524.19,161458
HRL,2025-07-17,941.2,980.0,930.0,973.92,288141
HURJA,2025-07-17,254.5,263.0,250.1,260.41,276140
ICFC,2025-07-17,653.0,676.0,648.0,661.93,66814
IGI,2025-07-17,566.0,578.0,565.0,570.91,45813
IHL,2025-07-17,560.0,590.0,560.0,581.29,10808
ILBS,2025-07-17,933.8,976.0,914.0,963.25,18897
ILI,2025-07-17,465.0,477.3,465.0,472.06,49360
JBBL,2025-07-17,354.0,364.0,352.0,359.93,171474
JBLB,2025-07-17,1508.9,1527.1,1500.0,1509.18,18725
JFL,2025-07-17,500.0,520.0,500.0,516.72,50424
JOSHI,2025-07-17,350.0,363.0,343.1,354.52,108886
JSLBB,2025-07-17,1410.9,1430.0,1391.0,1392.43,2431
KBL,2025-07-17,224.0,226.0,220.1,221.77,684458
KBSH,2025-07-17,1945.0,1985.0,1945.0,1965.0,950
KDL,2025-07-17,1180.0,1190.0,1130.0,1182.77,7125
KKHC,2025-07-17,296.0,305.0,292.1,297.81,59603
KMCDB,2025-07-17,1050.0,1098.0,1050.0,1087.39,8034
KPCL,2025-07-17,531.8,575.0,531.8,554.54,50439
KSBBL,2025-07-17,508.8,535.0,502.0,526.83,368891
LBBL,2025-07-17,490.3,500.0,475.3,492.67,282273
LEC,2025-07-17,219.3,222.0,215.0,220.76,315285
LICN,2025-07-17,901.0,918.0,899.0,914.46,33630
LLBS,2025-07-17,1142.0,1205.0,1098.8,1167.13,12449
LSL,2025-07-17,241.0,244.2,238.0,241.88,415163
MAKAR,2025-07-17,638.0,671.1,625.1,661.19,19578
MANDU,2025-07-17,910.0,933.0,900.0,916.14,9580
MATRI,2025-07-17,1180.8,1254.0,1180.8,1249.19,6717
MBJC,2025-07-17,318.0,326.0,318.0,323.95,85196
MBL,2025-07-17,263.9,268.4,260.2,261.69,313401
MCHL,2025-07-17,540.0,570.0,535.9,555.31,18713
MDB,2025-07-17,698.0,705.0,677.0,694.27,94363
MEHL,2025-07-17,423.0,443.7,423.0,440.83,30251
MEL,2025-07-17,318.9,329.0,316.0,324.1,49133
MEN,2025-07-17,647.0,652.0,639.0,647.23,151538
MERO,2025-07-17,863.4,931.1,850.0,911.54,156203
MFIL,2025-07-17,634.0,650.8,630.0,649.27,64270
MHCL,2025-07-17,445.0,471.0,445.0,468.3,27934
MHL,2025-07-17,614.4,639.1,603.0,618.54,12215
MHNL,2025-07-17,260.0,285.0,260.0,284.16,87139
MKCL,2025-07-17,1523.9,1547.0,1470.0,1540.38,10919
MKHC,2025-07-17,422.0,435.0,415.0,431.79,29176
MKHL,2025-07-17,898.0,915.0,870.0,881.52,26462
MKJC,2025-07-17,509.7,550.8,509.7,544.09,57235
MLBBL,2025-07-17,1575.0,1640.0,1575.0,1624.35,7057
MLBL,2025-07-17,417.3,429.3,415.5,422.49,235903
MLBS,2025-07-17,1630.1,1768.0,1630.1,1715.76,2955
MLBSL,2025-07-17,2355.0,2398.0,2355.0,2379.64,1995
MMKJL,2025-07-17,594.1,615.0,594.1,609.07,9254
MNBBL,2025-07-17,410.0,421.3,410.0,419.99,201905
MPFL,2025-07-17,629.4,683.0,629.4,672.56,53205
MSHL,2025-07-17,935.0,950.0,903.1,935.0,5623
MSLB,2025-07-17,1302.0,1328.0,1300.0,1322.54,10064
NABBC,2025-07-17,1676.8,1710.0,1612.0,1646.17,51703
NABIL,2025-07-17,545.0,554.0,542.2,548.66,192877
NADEP,2025-07-17,912.4,975.0,905.0,957.35,12547
NBL,2025-07-17,297.2,302.0,295.0,299.67,695151
NESDO,2025-07-17,1717.1,1758.3,1716.0,1751.6,7077
NFS,2025-07-17,754.0,758.0,744.0,753.17,53341
NGPL,2025-07-17,400.0,415.0,400.0,411.77,1005533
NHDL,2025-07-17,685.0,719.9,685.0,714.52,14834
NHPC,2025-07-17,212.7,222.0,212.7,219.88,186909
NICA,2025-07-17,428.4,428.4,414.0,418.72,613888
NICL,2025-07-17,653.8,674.9,653.8,665.23,23931
NICLBSL,2025-07-17,684.2,700.0,680.0,694.53,31488
NIFRA,2025-07-17,285.0,295.0,285.0,293.54,597071
NIL,2025-07-17,715.0,730.0,715.0,727.34,25679
NIMB,2025-07-17,235.0,238.6,232.0,235.78,429891
NLG,2025-07-17,794.8,810.0,780.0,790.75,63533
NLIC,2025-07-17,788.0,815.0,786.0,807.89,157976
NLICL,2025-07-17,634.5,649.7,633.0,643.25,23822
NLO,2025-07-17,293.2,293.2,293.2,293.2,10
NMB,2025-07-17,273.0,274.9,269.1,272.05,169128
NMBMF,2025-07-17,750.0,783.4,743.0,765.53,16277
NMFBS,2025-07-17,1406.0,1460.0,1400.0,1438.33,24426
NMIC,2025-07-17,1545.0,1624.0,1545.0,1612.91,20790
NMLBBL,2025-07-17,713.0,722.0,700.0,717.03,32399
NRIC,2025-07-17,1235.0,1375.0,1235.0,1367.57,626380
NRM,2025-07-17,463.4,474.0,460.0,468.86,46951
NRN,2025-07-17,2300.0,2400.9,2291.0,2380.6,161572
NTC,2025-07-17,881.0,894.9,881.0,890.89,47478
NUBL,2025-07-17,760.2,800.0,760.2,792.63,46177
NWCL,2025-07-17,936.3,950.0,924.0,947.87,7325
NYADI,2025-07-17,460.0,474.8,458.0,471.84,59168
OHL,2025-07-17,897.9,915.0,897.9,909.32,12933
OMPL,2025-07-17,1520.0,1551.0,1518.0,1520.14,21520
PCBL,2025-07-17,276.0,286.0,276.0,285.32,318486
PFL,2025-07-17,437.0,446.0,435.3,443.27,72969
PHCL,2025-07-17,515.0,530.0,509.1,527.17,26745
PMHPL,2025-07-17,410.0,434.5,406.2,429.63,184187
PMLI,2025-07-17,533.1,543.6,533.0,536.15,35526
PPCL,2025-07-17,373.1,390.0,365.6,385.99,120337
PPL,2025-07-17,389.0,399.0,384.0,392.15,24775
PRIN,2025-07-17,930.0,960.3,930.0,953.2,149443
PROFL,2025-07-17,525.3,549.0,525.3,545.41,85224
PRVU,2025-07-17,223.0,228.4,222.5,227.46,424438
PURE,2025-07-17,870.0,900.0,870.0,890.07,18977
RADHI,2025-07-17,826.4,851.0,820.0,832.96,676717
RAWA,2025-07-17,784.0,872.0,784.0,827.37,21678
RBCL,2025-07-17,15212.0,15425.0,15150.0,15413.68,854
RFPL,2025-07-17,626.0,651.0,622.2,640.22,130149
RHGCL,2025-07-17,350.9,350.9,340.0,346.74,55699
RHPL,2025-07-17,339.9,367.0,335.0,349.88,159366
RIDI,2025-07-17,261.0,273.3,260.0,270.25,233725
RLFL,2025-07-17,510.0,522.0,504.0,513.01,54812
RNLI,2025-07-17,475.0,494.0,475.0,492.08,133635
RSDC,2025-07-17,709.0,715.0,697.9,711.27,38563
RURU,2025-07-17,739.0,750.0,736.9,742.31,34412
SADBL,2025-07-17,472.0,472.0,458.5,459.22,258250
SAHAS,2025-07-17,650.0,675.0,645.0,665.27,572302
SALICO,2025-07-17,730.0,753.9,720.1,739.0,15315
SAMAJ,2025-07-17,2400.3,2480.0,2400.3,2437.28,1369
SANIMA,2025-07-17,377.0,380.0,372.0,374.37,699852
SAPDBL,2025-07-17,1045.1,1081.4,1045.0,1052.73,103009
SARBTM,2025-07-17,880.0,908.0,876.0,895.22,153804
SBI,2025-07-17,446.0,452.0,440.0,441.81,234926
SBL,2025-07-17,391.3,408.0,383.2,387.23,450633
SCB,2025-07-17,661.0,670.3,650.1,668.39,54394
SFCL,2025-07-17,541.0,565.0,541.0,553.78,85962
SGHC,2025-07-17,400.0,418.0,397.3,414.97,21532
SGIC,2025-07-17,609.0,624.0,609.0,615.69,77984
SHEL,2025-07-17,289.1,300.0,289.1,297.0,452739
SHINE,2025-07-17,436.0,445.0,433.0,439.84,116335
SHIVM,2025-07-17,542.0,570.0,542.0,567.29,568742
SHL,2025-07-17,583.0,599.0,577.3,588.65,192333
SHLB,2025-07-17,2043.0,2070.9,2016.0,2042.09,1699
SHPC,2025-07-17,628.0,648.1,628.0,643.84,665475
SICL,2025-07-17,789.0,796.0,780.1,790.55,27416
SIFC,2025-07-17,554.4,574.0,546.0,560.91,48758
SIKLES,2025-07-17,875.0,892.0,870.0,890.96,3315
SINDU,2025-07-17,883.9,883.9,870.0,874.22,36834
SJCL,2025-07-17,321.0,327.9,320.0,327.07,23004
SJLIC,2025-07-17,455.0,464.0,455.0,462.0,70821
SKBBL,2025-07-17,899.0,916.5,887.0,909.87,89453
SLBBL,2025-07-17,1025.0,1046.0,1015.0,1029.97,32697
SLBSL,2025-07-17,1520.0,1578.9,1495.2,1555.83,7831
SMATA,2025-07-17,955.0,993.9,950.0,986.0,27989
SMB,2025-07-17,2350.0,2363.0,2316.0,2357.28,1200
SMFBS,2025-07-17,1790.0,1875.0,1788.0,1835.77,4983
SMH,2025-07-17,879.0,958.1,875.2,918.78,2858
SMHL,2025-07-17,1086.3,1090.0,1043.4,1086.88,56105
SMJC,2025-07-17,540.0,555.9,540.0,553.44,38025
SMPDA,2025-07-17,1018.8,1143.4,1018.8,1111.36,39063
SNLI,2025-07-17,500.0,510.0,491.0,501.03,67688
SONA,2025-07-17,470.0,484.5,467.0,478.46,161473
SPC,2025-07-17,548.0,552.0,535.0,548.16,65331
SPDL,2025-07-17,410.0,438.0,410.0,428.53,238043
SPHL,2025-07-17,679.0,717.0,668.0,686.19,5384
SPIL,2025-07-17,841.0,855.0,839.1,848.43,13358
SPL,2025-07-17,847.0,915.4,838.0,915.4,18796
SRLI,2025-07-17,414.0,426.0,413.0,424.3,145539
SSHL,2025-07-17,261.0,265.0,256.0,263.69,299772
STC,2025-07-17,5380.0,5500.0,5251.0,5480.39,4914
SWBBL,2025-07-17,890.0,907.8,890.0,895.93,18567
SWMF,2025-07-17,762.0,783.0,762.0,781.04,13336
TAMOR,2025-07-17,525.0,535.0,521.0,529.71,32062
TPC,2025-07-17,393.6,409.0,391.5,401.66,56921
TRH,2025-07-17,965.0,980.0,946.0,970.16,11923
TSHL,2025-07-17,746.3,804.8,746.3,804.8,14364
TTL,2025-07-17,366.1,402.7,366.1,402.7,590
TVCL,2025-07-17,504.0,509.7,493.0,505.53,18614
UAIL,2025-07-17,581.0,600.0,581.0,596.06,31491
UHEWA,2025-07-17,612.2,630.0,597.9,624.07,51087
ULBSL,2025-07-17,3351.0,3525.9,3351.0,3504.93,9156
ULHC,2025-07-17,475.0,497.0,475.0,492.73,33357
UMHL,2025-07-17,565.0,619.0,565.0,583.55,563576
UMRH,2025-07-17,619.8,633.9,619.8,625.6,45441
UNHPL,2025-07-17,422.0,459.5,418.0,449.41,437776
UNL,2025-07-17,47150.0,47150.0,46900.0,46900.0,40
UNLB,2025-07-17,2311.38,2405.1,2286.0,2398.15,2734
UPCL,2025-07-17,409.9,429.0,409.0,426.42,584864
UPPER,2025-07-17,199.0,208.0,198.0,206.18,896797
USHEC,2025-07-17,474.9,499.0,474.9,482.88,44082
USHL,2025-07-17,657.0,686.1,645.2,683.91,13671
USLB,2025-07-17,1820.2,1892.0,1801.0,1887.12,12989
VLBS,2025-07-17,901.0,917.0,887.3,906.4,15037
VLUCL,2025-07-17,616.0,660.0,615.0,642.93,27458
WNLB,2025-07-17,2200.0,2220.0,2180.0,2208.62,2229
